a few,a few,DT JJ,1402,0.0002513,0.027098,4383.3,38.316,5.3659
no long,no long,DT JJR,8,1.3038e-06,0.0011541,11.524,2.5445,3.3166
no long,no long,RB JJR,71,1.1571e-05,0.081986,365.81,8.4165,9.7701
no longer,no longer,DT NN,15,2.4446e-06,0.002216,58.948,3.8508,7.4498
no longer,no longer,DT RB,12,1.9557e-06,0.0017433,23.452,3.2939,4.3472
no longer,no longer,DT RBR,56,9.1264e-06,0.0080218,151.94,7.3472,5.7808
no longer,no longer,RB RB,160,2.6564e-05,0.19939,1045.3,12.762,11.415
no longer,no longer,RB RBR,247,4.058e-05,0.27213,1563.9,15.773,11.237
no use,no use,DT IN,4,6.5189e-07,0.00059224,17.638,1.9901,7.6584
no use,no use,DT NN,376,6.2907e-05,0.053854,1557.9,19.553,7.7134
no use,no use,DT VB,3,4.8892e-07,0.00043375,3.4423,1.3078,2.0296
no use,no use,RB NN,4,1.3038e-06,0.0072628,21.13,2.7626,5.4247
no use,no use,RB VB,3,4.8892e-07,0.0035273,8.8429,1.6891,5.3333
north pole,north pole,JJ NN,2,3.2594e-07,0.033058,14.337,1.4138,11.853
nose up,nose up,JJ RP,3,4.8892e-07,0.00043722,4.4826,1.4726,2.7387
nose up,nose up,NN RP,3,4.8892e-07,0.00042454,2.3838,0.95103,1.149
not at all,not at all,RB IN DT,144,2.9661e-05,0.006997,0.0,13.458,8.6705
not at all,not at all,RB IN PDT,11,1.7927e-06,0.00050558,0.0,3.2679,6.0893
not at all,not at all,RB IN RB,2,3.2594e-07,0.00010298,0.0,1.4107,8.6491
not much,not much,RB JJ,114,2.2979e-05,0.0087112,138.04,10.198,2.8246
not much,not much,RB RB,24,4.2373e-06,0.0016862,6.2107,2.568,1.0105
nothing like,nothing like,NN IN,25,5.2151e-06,0.0049478,26.415,4.6251,2.4549
nothing like,nothing like,NN JJ,2,3.2594e-07,0.0009348,4.4104,1.2921,3.5333
now that,now that,RB DT,8,3.7484e-06,0.001598,3.0199,-1.9252,-0.4869
now that,now that,RB IN,287,5.8996e-05,0.014402,262.19,15.247,2.3318
occur to,occur to,VBD TO,91,1.483e-05,0.0013558,238.88,9.2484,5.0349
occur to,occur to,VBN TO,30,4.8892e-06,0.00044721,68.93,5.2578,4.6413
of a kind,of a kind,IN DT NN,10,1.6297e-06,0.0001365,0.0,2.9714,4.0499
of course,of course,IN NN,1153,0.00037141,0.041964,7382.2,46.829,5.7127
of it,of it,IN PRP,2863,0.00046691,0.032484,731.55,30.819,1.2371
on earth,on earth,IN NN,177,2.9009e-05,0.011483,438.06,13.01,5.3286
on top of,on top of,IN NN IN,62,1.0267e-05,0.0013798,0.0,7.929,9.9063
on top,on top,IN JJ,3,4.8892e-07,0.0001981,3.0067,1.1968,1.6942
on top,on top,IN NN,74,1.2223e-05,0.0048586,137.26,8.2218,4.3041
once upon a time,once upon a time,RB IN DT NN,54,2.1675e-05,0.0040874,0.0,11.533,20.472
one day,one day,CD NN,580,0.00015564,0.082928,2583.0,30.332,5.7579
out of pocket,out of pocket,IN IN NN,2,3.2594e-07,5.3232e-05,0.0,1.4088,8.0241
out of,out of,IN IN,4867,0.00080231,0.087698,14774.0,68.644,5.5285
out of,out of,NN IN,38,6.1929e-06,0.00071593,110.72,6.0214,5.4293
out of,out of,RB IN,112,1.8253e-05,0.002099,150.61,9.5781,3.3967
out of,out of,RP IN,19,3.0965e-06,0.00032599,106.43,-37.156,-3.2516
out of,out of,VBN IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
pain of death,pain of death,NN IN NN,9,1.4667e-06,0.00025075,0.0,2.9995,12.517
pile up,pile up,VBD RP,6,9.7783e-07,0.00088496,18.863,2.4126,6.0536
pile up,pile up,VBN RB,1,1.6297e-07,0.00056948,4.5265,0.98467,6.027
pile up,pile up,VBN RP,3,4.8892e-07,0.00044294,9.5443,1.6977,5.6562
play with,play with,NN IN,29,4.7262e-06,0.0014595,47.125,5.02,3.8823
play with,play with,VB IN,173,2.8357e-05,0.0086548,409.74,12.813,5.1266
play with,play with,VBP IN,9,1.7927e-06,0.00055668,21.819,3.15,4.3149
pluck up courage,pluck up courage,VBD RP NN,6,9.7783e-07,0.001286,0.0,2.4495,18.973
pluck up,pluck up,VBD RP,16,2.9335e-06,0.0026469,60.035,4.2001,6.6385
pluck up,pluck up,VBN RP,1,1.6297e-07,0.0001477,3.5579,0.95153,4.3667
point out,point out,NN RP,2,3.2594e-07,0.00036556,2.2706,0.83897,1.2977
point out,point out,VB RP,13,2.1186e-06,0.0024727,48.883,3.5819,7.2522
point out,point out,VBD IN,1,1.6297e-07,0.00031182,2.298,0.75272,2.0158
point out,point out,VBD RP,34,5.541e-06,0.0063486,104.5,5.759,6.3405
point out,point out,VBG RP,9,1.4667e-06,0.0016941,21.7,2.909,5.0436
point out,point out,VBN RP,12,1.9557e-06,0.0022833,45.296,3.4415,7.257
pour out,pour out,VB IN,1,1.6297e-07,0.0003217,3.5346,0.95074,4.3436
pour out,pour out,VB RP,12,2.1186e-06,0.0024729,49.146,3.5824,7.2813
pour out,pour out,VBP RP,2,3.2594e-07,0.00038179,8.1285,1.3997,6.6106
prepare for,prepare for,VBG IN,24,3.9113e-06,0.0010987,59.941,4.7684,5.23
preparing for,preparing for,NN IN,3,4.8892e-07,0.00013761,14.628,1.7197,7.1369
pretend to,pretend to,NN TO,1,1.6297e-07,1.4912e-05,2.5743,0.82515,2.5158
pretend to,pretend to,VB TO,45,7.4967e-06,0.00068546,92.641,6.4407,4.3115
pretend to,pretend to,VBP TO,10,1.6297e-06,0.00014911,22.535,3.0171,4.4454
pull out,pull out,VB IN,1,1.6297e-07,0.00031221,2.3198,0.76076,2.0635
pull out,pull out,VB RP,8,1.6297e-06,0.0018686,21.41,3.0339,4.6227
pull up,pull up,VBD RB,2,3.2594e-07,0.0010142,3.7693,1.2299,2.9396
pull up,pull up,VBD RP,24,3.9113e-06,0.003434,48.313,4.6926,4.5688
pull up,pull up,VBN RP,8,1.3038e-06,0.0011764,21.622,2.7646,5.4686
put down,put down,VB RP,12,2.1186e-06,0.0039914,17.85,3.2529,3.3538
put down,put down,VBD RB,3,4.8892e-07,0.00095511,2.3857,0.95266,1.1521
put down,put down,VBD RP,44,7.3337e-06,0.013206,97.163,6.4826,4.894
put down,put down,VBN RP,10,1.6297e-06,0.0035855,19.264,2.9981,4.2675
put out,put out,NN RP,1,1.6297e-07,0.00019035,3.2296,0.92837,3.8033
put out,put out,VB RP,27,4.5632e-06,0.0046485,36.865,4.7816,3.3754
put out,put out,VBD IN,1,1.6297e-07,0.00024842,1.9587,-0.89281,-0.92053
put out,put out,VBD RP,81,1.3201e-05,0.01312,162.93,8.6432,4.6566
put out,put out,VBN RP,46,7.4967e-06,0.0082801,113.32,6.6199,5.3838
reign over,reign over,NN IN,1,1.6297e-07,0.00022751,3.9198,0.96856,4.9912
reign over,reign over,VB IN,2,3.2594e-07,0.00045563,8.7806,1.4041,7.1287
reply to,reply to,NN TO,31,5.0521e-06,0.00046143,27.025,4.5668,2.4757
reply to,reply to,VB TO,4,6.5189e-07,5.9625e-05,3.2515,1.3225,1.5616
reply to,reply to,VBD TO,11,1.7927e-06,0.00016159,17.772,-10.12,-2.0184
reply to,reply to,VBZ TO,1,1.6297e-07,1.4912e-05,2.8059,0.86886,2.9309
reveal to,reveal to,VBD TO,4,6.5189e-07,5.9637e-05,4.8118,1.6175,2.3865
reveal to,reveal to,VBN TO,15,2.4446e-06,0.00022364,31.174,3.6755,4.2934
rid of,rid of,JJ IN,177,2.8846e-05,0.0033307,616.16,13.071,5.8375
rid of,rid of,NNS IN,3,4.8892e-07,5.6547e-05,12.31,1.7021,5.8538
rise up,rise up,NN RB,1,1.6297e-07,0.00056275,3.7223,0.96081,4.6734
rise up,rise up,VB RB,9,2.2816e-06,0.0077071,52.465,3.7192,7.3798
rise up,rise up,VB RP,6,1.1408e-06,0.0010244,14.72,2.5225,4.4241
rise up,rise up,VBP RB,1,1.6297e-07,0.00057127,4.987,0.99091,6.7819
rise up,rise up,VBP RP,1,1.6297e-07,0.00014777,3.8307,0.96475,4.8262
run away,run away,NN RB,1,1.6297e-07,0.00029595,2.5356,0.82481,2.513
run away,run away,VB RB,222,3.7972e-05,0.059859,878.47,15.181,7.5092
run away,run away,VB RP,18,2.9335e-06,0.018209,61.108,4.2067,6.8818
run away,run away,VBN RB,63,1.0267e-05,0.018391,252.15,7.9026,7.839
run away,run away,VBN RP,8,1.3038e-06,0.01534,33.149,2.8168,7.9287
run away,run away,VBP RB,10,2.7705e-06,0.0050438,57.188,4.085,6.7594
run away,run away,VBZ RB,1,2.2816e-06,0.0041723,47.86,3.7083,6.8111
sand dune,sand dune,NN NN,1,1.6297e-07,0.0060976,9.0838,0.99989,13.2
sat down,sat down,JJ IN,1,1.6297e-07,0.0020408,5.0928,0.99214,6.9905
sat down,sat down,JJ RP,1,1.6297e-07,0.00040128,3.6704,0.9582,4.5805
say about,say about,VB IN,25,4.0743e-06,0.003789,18.054,3.9198,2.2107
say about,say about,VBP IN,8,1.3038e-06,0.0014286,5.6689,2.0486,1.8587
see through,see through,VBN IN,6,9.7783e-07,0.0015921,3.6561,1.5479,1.4419
see to it that,see to it that,VB TO PRP IN,4,8.1486e-07,7.9421e-05,0.0,2.23,8.5347
see to it,see to it,VB TO PRP,13,2.2816e-06,0.00019729,0.0,3.1738,2.7202
see to,see to,NN TO,2,3.2594e-07,2.9806e-05,1.7372,-0.0076127,-0.0077451
see to,see to,VB TO,94,1.5482e-05,0.0013324,25.568,-9.2822,-0.9652
see to,see to,VBP TO,1,1.6297e-07,1.4688e-05,37.09,-44.024,-5.4926
set off,set off,NN RP,1,1.6297e-07,0.00052233,2.7091,0.86181,2.8553
set off,set off,VB RP,27,4.4002e-06,0.012694,78.733,5.1217,6.1243
set off,set off,VBD RP,113,1.8416e-05,0.050867,444.82,10.583,7.8268
set off,set off,VBN RB,1,1.6297e-07,0.0016129,3.4312,0.94461,4.1742
set off,set off,VBN RP,32,5.2151e-06,0.014467,91.362,5.5708,6.0392
set off,set off,VBP RP,8,1.3038e-06,0.004194,23.658,2.7825,5.9435
set out,set out,NN RP,1,1.6297e-07,0.0001869,2.0093,0.5975,1.3129
set out,set out,VB RP,80,1.3201e-05,0.01456,237.75,8.8747,6.1669
set out,set out,VBD RP,196,3.1942e-05,0.034644,690.73,13.896,7.079
set out,set out,VBN IN,1,1.6297e-07,0.00028576,1.7504,0.16467,0.25958
set out,set out,VBN RP,113,1.8579e-05,0.020184,345.88,10.544,6.3298
set out,set out,VBP RP,58,9.4524e-06,0.010854,212.47,7.5661,7.2592
sit down,sit down,CC IN,2,3.2594e-07,0.0043011,17.02,1.414,12.691
sit down,sit down,JJ RP,1,1.6297e-07,0.00040519,5.9753,0.99678,8.2809
sit down,sit down,NN RB,2,3.2594e-07,0.00088751,5.7311,1.3595,4.691
sit down,sit down,NN RP,3,4.8892e-07,0.0011905,8.4734,1.6819,5.111
sit down,sit down,VB RB,1,1.6297e-07,0.00039393,1.9176,0.51393,1.0408
sit down,sit down,VB RP,7,2.8357e-05,0.062032,746.4,13.15,8.3187
sit down,sit down,VBD IN,6,9.7783e-07,0.0032284,10.748,2.2773,3.8303
sit down,sit down,VBD RB,645,0.00010577,0.18058,2814.0,25.397,8.3425
sit down,sit down,VBD RP,181,3.0313e-05,0.04818,564.37,13.474,6.3745
sit down,sit down,VBN RP,25,4.0743e-06,0.0098678,100.43,4.9783,7.848
sit down,sit down,VBP IN,1,1.6297e-07,0.0018051,4.0251,0.97278,5.199
sit down,sit down,VBP RP,6,4.4002e-06,0.010563,102.94,5.1683,7.544
sit in,sit in,VBG IN,175,2.852e-05,0.0049295,234.55,12.011,3.441
sit on,sit on,VBG IN,346,5.6388e-05,0.021954,920.96,18.226,5.6334
sitting in,sitting in,NN IN,3,4.8892e-07,8.6195e-05,5.2062,1.5356,3.1406
sitting on,sitting on,NN IN,1,1.6297e-07,6.6381e-05,2.6715,0.85284,2.7646
sketch out,sketch out,VB RP,2,3.2594e-07,0.00038172,7.8406,1.3973,6.3882
sleep on,sleep on,NN IN,4,6.5189e-07,0.00026263,2.6327,1.1121,1.1716
sleep on,sleep on,VB IN,29,5.3781e-06,0.0021308,35.695,4.9974,2.9427
sleep on,sleep on,VBP IN,2,8.1486e-07,0.0003311,7.8749,2.0101,3.3069
so far,so far,IN RB,1,3.2594e-07,0.00055858,1.7373,0.017687,0.018157
so far,so far,RB RB,345,6.2092e-05,0.03009,906.72,19.002,5.2382
so far,so far,VBP RB,1,1.6297e-07,0.0007286,7.2329,0.99911,10.127
so much,so much,RB JJ,1204,0.00020013,0.091162,3767.5,34.585,6.258
so much,so much,RB RB,335,5.6225e-05,0.027157,780.51,18.014,5.0514
so that,so that,CC DT,1,1.6297e-07,0.00011237,1.7374,0.024277,0.035457
so that,so that,CC IN,85,1.3853e-05,0.0043277,210.0,8.9835,5.2873
so that,so that,IN DT,151,2.6075e-05,0.01463,229.95,11.656,3.6703
so that,so that,IN IN,776,0.00012647,0.035796,1655.4,26.85,4.7907
so that,so that,IN RB,2,4.8892e-07,0.0013283,8.9771,1.6909,5.3953
so that,so that,NN IN,4,6.5189e-07,0.00020542,17.15,1.9841,6.978
so that,so that,RB DT,1,2.2816e-06,0.00069937,26.957,-13.426,-2.1979
so that,so that,RB IN,448,7.5945e-05,0.01515,201.96,14.949,1.7013
so that,so that,RB RB,2,4.8892e-07,0.00026455,4.9726,1.5217,3.0417
so what,so what,IN WP,14,2.4446e-06,0.0014983,2.2341,0.97193,0.41687
so what,so what,RB WP,5,1.6297e-06,0.00052375,27.856,-14.998,-2.5217
sort of,sort of,JJ IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
sort of,sort of,NN IN,787,0.00012858,0.014725,2266.8,27.437,5.4291
sort of,sort of,RB IN,2,3.2594e-07,3.7698e-05,8.7858,1.3898,5.8538
sort of,sort of,VB IN,1,1.6297e-07,1.8848e-05,2.9891,0.89625,3.2688
sort of,sort of,VBP IN,2,3.2594e-07,3.7698e-05,7.1424,1.3775,5.2688
speak for,speak for,VBG IN,7,1.1408e-06,0.00031947,6.103,2.0442,2.1369
speak to,speak to,JJ TO,1,1.6297e-07,1.491e-05,1.8563,0.43174,0.81538
speak to,speak to,NN TO,9,3.2594e-06,0.00029801,24.124,3.9199,3.0176
speak to,speak to,VB TO,197,3.2105e-05,0.0029162,241.14,12.485,3.1779
speak to,speak to,VBD TO,133,2.1675e-05,0.0019663,103.3,9.3114,2.3763
speak to,speak to,VBN TO,3,1.206e-05,0.0011009,100.46,7.7715,3.3721
speak to,speak to,VBP TO,11,1.7927e-06,0.0001639,8.2979,2.5127,2.0445
speaking for,speaking for,NN IN,2,3.2594e-07,9.1477e-05,2.163,0.77111,1.1369
spoke to,spoke to,NN TO,7,1.1408e-06,0.00010433,5.7665,1.9849,2.0012
stand back,stand back,VBD RB,5,8.1486e-07,0.0013045,3.2346,1.3816,1.3879
start off,start off,VB RP,10,1.6297e-06,0.0052687,31.878,3.1247,6.3945
start off,start off,VBP IN,1,1.6297e-07,0.001497,5.197,0.99299,7.1569
stay in,stay in,NN IN,8,1.4667e-06,0.00025833,11.524,2.6296,3.0177
stay in,stay in,VB IN,71,1.1571e-05,0.002009,59.469,6.9431,2.5063
stay in,stay in,VBP IN,4,8.1486e-07,0.00014359,6.7226,1.9267,2.8537
step back,step back,VB RB,2,3.2594e-07,0.00071061,6.0035,1.3675,4.9192
stir in,stir in,VBD IN,4,6.5189e-07,0.00011483,3.999,1.5011,2.0031
stir in,stir in,VBN IN,6,9.7783e-07,0.00017233,9.385,2.2088,3.347
stone wall,stone wall,NN NN,96,1.5645e-05,0.12387,505.31,9.7881,9.9639
succeed in,succeed in,VB IN,26,4.2373e-06,0.0007462,52.403,4.8633,4.435
such a,such a,JJ DT,1372,0.00024169,0.025573,2834.8,36.512,4.2684
such a,such a,PDT DT,1290,0.00021333,0.023126,4167.1,35.451,5.6333
such a,such a,VB DT,22,3.5854e-06,0.00039363,72.334,4.5972,5.6533
sweep out,sweep out,VB RP,3,4.8892e-07,0.00056996,8.0006,1.671,4.8264
sweep out,sweep out,VBD RP,5,8.1486e-07,0.00094384,11.197,2.1369,4.4951
sweep out,sweep out,VBN IN,1,1.6297e-07,0.00032062,3.2404,0.92964,3.829
swell up,swell up,VB RP,6,9.7783e-07,0.0008862,22.455,2.4297,6.9517
take advantage of,take advantage of,VBD NN IN,10,1.6297e-06,0.00027168,0.0,3.1618,12.692
take away from,take away from,VB RP IN,2,3.2594e-07,0.00030146,0.0,1.4133,10.537
take for,take for,VB IN,18,2.9335e-06,0.00075055,4.5564,-3.0694,-0.7853
take for,take for,VBP IN,1,1.6297e-07,4.5546e-05,2.1082,-1.224,-1.1532
take heart,take heart,VBD NN,20,3.2594e-06,0.0052083,23.461,3.9392,3.0691
take it away,take it away,VB PRP RB,14,2.4446e-06,0.00055385,0.0,3.8591,8.1244
take it away,take it away,VBP PRP RB,1,1.6297e-07,3.8862e-05,0.0,0.99615,8.0196
take it,take it,VB PRP,290,5.2314e-05,0.0085997,292.74,15.125,2.6822
take it,take it,VBP PRP,38,6.1929e-06,0.0010765,51.499,5.5828,3.4058
take out of,take out of,VBD IN IN,2,3.2594e-07,5.1519e-05,0.0,1.3627,4.7793
take out of,take out of,VBD RB IN,2,3.2594e-07,5.4098e-05,0.0,1.4091,8.1055
take out of,take out of,VBD RP IN,2,3.2594e-07,4.9686e-05,0.0,1.3268,4.0166
take out,take out,VB IN,4,6.5189e-07,0.00075945,1.7526,-0.19437,-0.13381
take out,take out,VB NN,1,1.6297e-07,0.0004528,3.7886,0.96371,4.7844
take out,take out,VB RP,21,3.5854e-06,0.0029668,9.8273,3.1029,1.5629
take out,take out,VBD IN,2,3.2594e-07,0.00038617,2.3654,-1.564,-1.0744
take out,take out,VBD RB,2,3.2594e-07,0.00083247,3.0781,1.1173,2.2517
take out,take out,VBD RP,106,1.7275e-05,0.014466,165.61,9.6015,3.8908
take out,take out,VBP RP,1,1.6297e-07,0.00018556,1.8778,0.46618,0.90557
take over,take over,VB RP,4,6.5189e-07,0.0015023,5.006,1.6588,2.5514
take over,take over,VBN IN,1,1.6297e-07,0.00019867,1.9434,-0.85497,-0.8914
take over,take over,VBN RP,1,1.6297e-07,0.00088613,2.4309,0.79714,2.3014
take seriously,take seriously,VBN RB,3,4.8892e-07,0.0042254,11.581,1.7172,6.861
take up,take up,VB RP,54,9.7783e-06,0.0067095,53.714,6.5041,2.641
take up,take up,VBG RP,46,7.4967e-06,0.0063734,89.45,6.4848,4.5105
take up,take up,VBP RP,4,6.5189e-07,0.00057837,4.9851,1.6552,2.5362
talk to,talk to,NN TO,12,2.2816e-06,0.00020802,2.1293,0.8619,0.37773
talk to,talk to,VB TO,186,3.0313e-05,0.0027559,239.73,12.238,3.2835
talk to,talk to,VBD TO,92,1.4993e-05,0.0013666,103.22,8.384,2.9895
talk to,talk to,VBN TO,28,4.5632e-06,0.00041716,37.472,4.7463,3.2788
talk to,talk to,VBP TO,4,6.5189e-07,5.9605e-05,2.1567,0.81977,0.76093
thank to,thank to,VB TO,1,1.6297e-07,1.4873e-05,5.969,-6.8682,-2.976
thanks to,thanks to,NNS TO,84,1.6297e-05,0.001488,172.16,9.3465,3.9357
the idea,the idea,DT NN,246,4.8403e-05,0.0021794,329.45,14.883,2.8742
think of,think of,NN IN,62,1.6949e-05,0.0019578,303.11,9.9657,5.4562
think of,think of,VB IN,814,0.00013299,0.014859,1222.7,26.31,3.6624
think of,think of,VBD IN,355,5.7855e-05,0.0064042,222.87,14.472,2.1084
think of,think of,VBG IN,217,3.5365e-05,0.0040527,327.39,13.576,3.6728
think of,think of,VBN IN,225,3.6832e-05,0.0042249,372.87,14.021,3.8926
think of,think of,VBP IN,126,2.0534e-05,0.0023223,50.961,7.5139,1.5968
thinking of,thinking of,NN IN,131,2.1512e-05,0.0024823,319.91,11.116,4.944
this be it,this be it,DT VBZ PRP,3,6.5189e-07,0.0001036,0.0,1.5491,2.1492
thought of,thought of,CD IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
thought of,thought of,NN IN,380,6.2092e-05,0.0071137,771.64,18.621,4.4416
time of day,time of day,NN IN NN,19,3.0965e-06,0.00046667,0.0,4.3187,6.7593
tire of,tire of,VBD IN,21,3.4224e-06,0.00039545,31.384,4.1864,3.5318
tire of,tire of,VBN IN,264,4.3025e-05,0.0049495,593.66,15.638,4.7358
tired of,tired of,CD IN,5,8.1486e-07,9.4241e-05,15.752,2.1819,5.3683
tired of,tired of,JJ IN,92,1.4993e-05,0.0017244,110.41,8.51,3.1485
tired of,tired of,NNS IN,1,1.6297e-07,1.8849e-05,5.2615,0.98271,5.8538
to be sure,to be sure,TO VB JJ,207,5.5899e-05,0.0062908,0.0,18.506,10.358
to bed,to bed,TO DT,4,6.5189e-07,5.9651e-05,15.021,1.9563,5.5158
to bed,to bed,TO NN,326,5.3292e-05,0.0048171,398.76,16.082,3.1755
to bed,to bed,TO NNS,7,1.1408e-06,0.00010426,2.7989,1.2579,0.93085
to bed,to bed,TO RB,3,4.8892e-07,4.4738e-05,11.7,1.6942,5.5158
to bed,to bed,TO VB,229,3.7646e-05,0.003439,769.02,14.866,5.5158
to bed,to bed,TO VBN,7,1.1408e-06,0.00010438,19.735,2.5631,5.0012
to do,to do,TO VB,3135,0.0005132,0.044247,5831.5,52.912,4.1305
to it,to it,TO PRP,790,0.00012907,0.0077496,197.74,-26.445,-0.95582
to light,to light,TO JJ,3,4.8892e-07,4.4598e-05,4.2828,-3.6183,-1.6271
to light,to light,TO NN,4,6.5189e-07,5.917e-05,12.98,-9.9553,-2.5796
to light,to light,TO VB,32,5.2151e-06,0.00047701,73.857,5.4328,4.6578
to my mind,to my mind,TO PRP$ NN,15,0.0,0.0,0.0,0.0,0.0
to order,to order,TO NN,27,4.4002e-06,0.00040058,5.0587,2.2728,0.82984
to piece,to piece,TO VB,1,8.1486e-07,7.4563e-05,18.342,2.1872,5.5158
to rest,to rest,TO VB,245,3.9928e-05,0.0036421,566.0,15.056,4.7144
to the eye,to the eye,TO DT NN,11,1.9557e-06,8.8498e-05,0.0,3.1725,3.5704
tomorrow even,tomorrow even,NN VBG,2,3.2594e-07,0.0058824,8.1947,1.4014,6.7838
tomorrow evening,tomorrow evening,NN NN,1,1.6297e-07,0.0011737,3.3129,0.93596,3.9648
travel in,travel in,NN IN,3,4.8892e-07,8.6185e-05,4.6403,1.4833,2.7995
travel in,travel in,VB IN,8,1.3038e-06,0.00022956,8.4944,2.3513,2.5677
turn to,turn to,NN TO,75,1.2223e-05,0.0011142,73.362,7.3555,2.7306
turn to,turn to,VB TO,24,3.9113e-06,0.00035624,4.4788,2.0794,0.797
turn to,turn to,VBP TO,9,1.4667e-06,0.00013414,8.9888,2.4536,2.4569
up against,up against,RB IN,1,1.6297e-07,0.00038395,1.7374,0.020842,0.030387
up against,up against,RP IN,52,8.4745e-06,0.0068228,78.723,6.6844,3.7751
up to,up to,IN TO,151,2.4935e-05,0.0022659,162.56,10.712,2.8998
up to,up to,JJ TO,1,1.6297e-07,1.4913e-05,3.1619,0.91258,3.5158
up to,up to,NN TO,8,1.3038e-06,0.00011925,8.8379,2.3648,2.6089
up to,up to,RB TO,792,0.00013038,0.011628,1080.9,25.591,3.3927
up to,up to,RP TO,683,0.00011131,0.0092529,167.71,14.828,1.2089
very well,very well,RB RB,415,9.1264e-05,0.051221,1231.1,22.907,4.9659
wait for,wait for,NN IN,30,7.8226e-06,0.0021936,122.32,6.759,5.3555
wait for,wait for,VB IN,121,1.972e-05,0.0054636,246.41,10.552,4.6169
wait for,wait for,VBP IN,8,1.3038e-06,0.00036619,12.88,2.5923,3.5823
wake up,wake up,VB RB,1,1.6297e-07,0.00054437,2.9022,0.89266,3.2197
wake up,wake up,VB RP,60,1.206e-05,0.010797,285.46,8.5539,7.4734
wake up,wake up,VBP RB,3,4.8892e-07,0.0016983,11.487,1.7163,6.7819
wake up,wake up,VBP RP,20,3.2594e-06,0.0029483,79.764,4.4485,7.5631
wander off,wander off,VB RP,1,1.6297e-07,0.00054675,3.747,0.96194,4.7155
watch over,watch over,NN IN,18,2.9335e-06,0.0039665,45.015,4.1392,5.3585
watch over,watch over,VB IN,18,2.9335e-06,0.0038806,37.203,4.0715,4.6319
watch over,watch over,VB RP,1,1.6297e-07,0.0013633,3.1391,0.9206,3.6548
watch over,watch over,VBP IN,1,1.6297e-07,0.0002273,3.6549,0.95713,4.5438
water can,water can,NN MD,3,4.8892e-07,0.00055965,1.7688,-0.28397,-0.21903
with it,with it,IN PRP,490,7.9856e-05,0.0089317,3.1337,1.7295,0.11737
work out,work out,NN IN,4,6.5189e-07,0.0010195,2.7286,1.1561,1.2449
work out,work out,NN RB,1,1.6297e-07,0.00087184,2.5633,0.83172,2.571
work out,work out,NN RP,3,4.8892e-07,0.00049407,1.74,0.078788,0.067165
work out,work out,VB RB,1,1.6297e-07,0.0015432,3.2608,0.93174,3.8729
work out,work out,VB RP,10,1.6297e-06,0.0017944,12.813,2.795,3.106
write about,write about,VB IN,16,2.7705e-06,0.0032978,33.381,3.9336,4.4438
write about,write about,VB RB,1,1.6297e-07,0.0013957,3.1831,0.92484,3.734
write about,write about,VBP IN,2,3.2594e-07,0.00040543,5.9118,1.3644,4.8276
you know,you know,PRP VB,382,6.2581e-05,0.012957,450.22,17.421,3.1712
you know,you know,PRP VBP,1301,0.00028406,0.059481,4750.7,40.87,5.569
